GEOID,med_age_E,pop_dens,covid_rate,type,majority_vote
19013,35.2,231.79837513464983,0.09807539803574697,Small metro,Democrat
19003,47.3,8.74754841178193,0.07262419006479481,Non-core,Republican
19007,45.7,24.76817323391614,0.07932126329463343,Non-core,Republican
19009,48.1,12.809244677866221,0.06785336623193514,Non-core,Republican
19015,41.8,46.7406450583958,0.07220662549129703,Micropolitan,Republican
19019,39.1,36.01072006389684,0.07089715536105033,Non-core,Republican
19023,43.9,24.70790926170531,0.0904841635272778,Non-core,Republican
19025,44.6,17.42049329633057,0.11816258688425506,Non-core,Republican
19029,44.9,23.264165494280366,0.08097813666488916,Non-core,Republican
19031,42.7,31.934815503459735,0.07576330721426641,Non-core,Republican
19035,46.3,20.20777831858161,0.10773717618802539,Non-core,Republican
19039,40.5,22.608434322853707,0.07109150594993845,Non-core,Republican
19041,42.9,28.88382366884933,0.09490966796875,Micropolitan,Republican
19045,42.2,66.85720767591235,0.08943176926388291,Micropolitan,Republican
19047,38.7,23.138109828052354,0.1291981845688351,Non-core,Republican
19051,36.8,18.140603244050865,0.07145993413830955,Micropolitan,Republican
19055,43.8,30.272716244010503,0.09372140896614821,Non-core,Republican
19057,42.9,93.50472566802054,0.09180159342071446,Micropolitan,Republican
19059,48.4,46.52317907311068,0.09715867367112918,Micropolitan,Republican
19061,38.6,163.18611229377396,0.10761993028831623,Small metro,Republican
19063,42.9,23.713682415611466,0.10875585854282062,Non-core,Republican
19065,43.8,26.694307241093952,0.07309446921933467,Non-core,Republican
19067,44.1,31.216491321211414,0.08261342548153837,Non-core,Republican
19069,42.7,17.215596552236477,0.09182553149016869,Non-core,Republican
19071,46.2,12.921419885345076,0.07161241483724451,Non-core,Republican
19073,44.5,15.398045482719878,0.07387983126211378,Non-core,Republican
19075,42.6,24.566869868674956,0.08938275610349582,Small metro,Republican
19077,45.5,17.98618353415633,0.09046408735762025,Medium metro,Republican
19079,42.6,26.075270523378006,0.09920872398430747,Non-core,Republican
19081,44.2,18.905277725725025,0.10986567855488652,Non-core,Republican
19083,44.7,29.646435450963125,0.08674013508709563,Non-core,Republican
19085,44,20.925807594105628,0.0999862844602935,Medium metro,Republican
19087,39.7,47.16232344835903,0.12166780587833219,Non-core,Republican
19089,41.5,20.008599615852077,0.07825535959446615,Non-core,Republican
19091,42.9,22.094034283157416,0.10253204126289465,Non-core,Republican
19093,43.7,16.233776944478336,0.09992862241256245,Non-core,Republican
19095,41.7,28.411383004876644,0.06871924138758853,Non-core,Republican
19097,44.3,30.63470028757802,0.09176289453425712,Non-core,Republican
19101,42.9,35.963644212721356,0.06639851880227288,Micropolitan,Democrat
19103,30.3,249.35756158507854,0.07349496905543852,Small metro,Democrat
19107,43.7,17.322736536300066,0.07933818399282368,Non-core,Republican
19111,43.1,64.83430581916248,0.08627626285203398,Micropolitan,Republican
19113,37.7,321.1630247755922,0.0725969283409828,Medium metro,Democrat
19117,44.2,20.050933936248367,0.06833449154505443,Non-core,Republican
19119,38,20.307998151685407,0.10583207642031171,Non-core,Republican
19123,39.3,38.8712621465609,0.07913474538080216,Micropolitan,Republican
19127,38.7,70.05202998182067,0.10078543822466027,Micropolitan,Republican
19129,42.5,33.111454299054266,0.0892018779342723,Medium metro,Republican
19133,46,12.608204411972206,0.06284996000457091,Non-core,Republican
